,city_numeric,street_numeric,area,number_of_rooms,floors,floor,price_per_square_m,total_price,build_year,0heating,Aeroterminis,Autonominis,Centrinis,Centrinis-kolektorinis,Dujinis,Elektrinis,Kietu kuru,Kitas,0furnishment,Dalinė apdaila,Neįrengtas / Statomas,Pilnai įrengtas,Reikalingas remontas,Suremontuotas,Tvarkingas,0building,Blokinis,Karkasinis,Medinis,Monolitas,Mūrinis
0,75,117,40.04,2,2,2,3596.4,144000.0,2021,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1,109,307,33.7,2,5,4,2077.15,70000.0,1972,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
2,109,501,63.91,3,9,6,1689.88,108000.0,1977,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
3,109,181,43.0,2,5,5,2162.79,93000.0,1964,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
4,109,490,68.8,3,9,5,1742.73,119900.0,1972,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
5,109,383,38.19,2,3,1,3953.91,151000.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
6,109,476,59.0,2,1,1,2440.68,144000.0,2020,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
7,109,433,66.85,3,9,2,1715.78,114700.0,1983,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
8,42,496,55.0,3,1,1,1309.09,72000.0,1930,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
9,63,520,53.5,2,5,5,1439.25,77000.0,1992,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
10,47,268,61.0,3,5,2,1639.34,100000.0,1980,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
11,109,136,87.32,3,4,3,2508.02,219000.0,2009,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
12,109,422,65.2,4,3,2,4447.85,290000.0,1940,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
13,56,310,61.43,3,5,5,895.33,55000.0,1992,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
14,109,181,27.79,1,9,8,2878.73,80000.0,1969,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
15,99,194,62.76,3,5,5,860.42,54000.0,1984,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
16,109,395,35.0,1,5,3,1857.14,65000.0,1975,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
17,42,210,43.72,2,5,3,1418.12,62000.0,1965,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
18,92,331,53.5,2,4,1,934.58,50000.0,1990,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
19,109,373,60.71,2,6,5,2553.12,155000.0,2000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
20,75,356,68.38,3,4,2,1754.9,120000.0,1995,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
21,109,335,52.13,2,12,2,1803.18,94000.0,2023,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
22,109,165,45.1,2,2,1,1374.72,62000.0,1968,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
23,42,564,49.32,2,5,2,3031.22,149500.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
24,109,366,62.1,3,4,3,2882.45,179000.0,1972,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
25,69,80,49.77,2,5,3,1105.08,55000.0,1986,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
26,109,324,35.64,1,9,1,2382.15,84900.0,1996,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
27,109,324,35.64,1,9,1,2382.15,84900.0,1996,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
28,117,269,48.88,2,5,4,869.48,42500.0,1982,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
29,109,27,17.0,1,4,4,1588.24,27000.0,2022,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
30,109,104,90.23,4,13,11,1872.99,169000.0,1990,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
31,109,58,50.64,2,3,2,4304.9,218000.0,1940,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
32,109,316,66.56,3,5,2,1938.1,129000.0,1989,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
